Namespace(simulation='springs', num_train=50000, num_valid=10000, num_test=10000, length=5000, sample_freq=100, n_balls=5, seed=42, datadir='data/test', temperature=0.1, temperature_dist=False, temperature_alpha=None, temperature_num_cats=None, undirected=False, fixed_particle=False, influencer_particle=False, confounder=False, uninfluenced_particle=True, fixed_connectivity=True, noise_var=0.0, length_test=5000)
_springs5_uninfluenced2_oneconnect
Generating 50000 training simulations
[5;30;41mEdges are fixed to be: [0m
[[0. 1. 1. 1. 0.]
 [0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]
Iter: 16900, Simulation time: 0.2538931369781494
Iter: 17000, Simulation time: 0.2542562484741211
Iter: 17100, Simulation time: 0.25243115425109863
Iter: 17200, Simulation time: 0.2577230930328369
Iter: 17300, Simulation time: 0.2625908851623535
Iter: 17400, Simulation time: 0.25727295875549316
Iter: 17500, Simulation time: 0.25406789779663086
Iter: 17600, Simulation time: 0.2545590400695801
Iter: 17700, Simulation time: 0.25529026985168457
Iter: 17800, Simulation time: 0.25432920455932617
Iter: 17900, Simulation time: 0.2524399757385254
Iter: 18000, Simulation time: 0.25408101081848145
Iter: 18100, Simulation time: 0.2552318572998047
Iter: 18200, Simulation time: 0.2556600570678711
Iter: 18300, Simulation time: 0.25606203079223633
Iter: 18400, Simulation time: 0.253399133682251
Iter: 18500, Simulation time: 0.2543323040008545
Iter: 18600, Simulation time: 0.2561519145965576
Iter: 18700, Simulation time: 0.2542417049407959
Iter: 18800, Simulation time: 0.2556338310241699
Iter: 18900, Simulation time: 0.25528979301452637
Iter: 19000, Simulation time: 0.2547452449798584
Iter: 19100, Simulation time: 0.25482869148254395
Iter: 19200, Simulation time: 0.2554497718811035
Iter: 19300, Simulation time: 0.26712822914123535
Iter: 19400, Simulation time: 0.2537212371826172
Iter: 19500, Simulation time: 0.25876283645629883
Iter: 19600, Simulation time: 0.25687098503112793
Iter: 19700, Simulation time: 0.2571890354156494
Iter: 19800, Simulation time: 0.25515317916870117
Iter: 19900, Simulation time: 0.2578089237213135
Iter: 20000, Simulation time: 0.25743603706359863
Iter: 20100, Simulation time: 0.2530701160430908
Iter: 20200, Simulation time: 0.2581653594970703
Iter: 20300, Simulation time: 0.25560688972473145
Iter: 20400, Simulation time: 0.25470709800720215
Iter: 20500, Simulation time: 0.2552969455718994
Iter: 20600, Simulation time: 0.25391221046447754
Iter: 20700, Simulation time: 0.3657100200653076
Iter: 20800, Simulation time: 0.2556290626525879
Iter: 20900, Simulation time: 0.254915714263916
Iter: 21000, Simulation time: 0.2558779716491699
Iter: 21100, Simulation time: 0.2539482116699219
Iter: 21200, Simulation time: 0.25589609146118164
Iter: 21300, Simulation time: 0.25818872451782227
Iter: 21400, Simulation time: 0.2539069652557373
Iter: 21500, Simulation time: 0.2532200813293457
Iter: 21600, Simulation time: 0.26476168632507324
Iter: 21700, Simulation time: 0.25392723083496094
Iter: 21800, Simulation time: 0.2539520263671875
Iter: 21900, Simulation time: 0.2551259994506836
Iter: 22000, Simulation time: 0.25586700439453125
Iter: 22100, Simulation time: 0.26078224182128906
Iter: 22200, Simulation time: 0.25636792182922363
Iter: 22300, Simulation time: 0.2541482448577881
Iter: 22400, Simulation time: 0.2549450397491455
Iter: 22500, Simulation time: 0.254331111907959
Iter: 22600, Simulation time: 0.25313901901245117
Iter: 22700, Simulation time: 0.2527749538421631
Iter: 22800, Simulation time: 0.2560150623321533
Iter: 22900, Simulation time: 0.2554891109466553
Iter: 23000, Simulation time: 0.2558252811431885
Iter: 23100, Simulation time: 0.25422000885009766
Iter: 23200, Simulation time: 0.25322604179382324
Iter: 23300, Simulation time: 0.2545027732849121
Iter: 23400, Simulation time: 0.2539646625518799
Iter: 23500, Simulation time: 0.2559812068939209
Iter: 23600, Simulation time: 0.2536919116973877
Iter: 23700, Simulation time: 0.25707578659057617
Iter: 23800, Simulation time: 0.2577981948852539
Iter: 23900, Simulation time: 0.25594210624694824
Iter: 24000, Simulation time: 0.25490880012512207
Iter: 24100, Simulation time: 0.2552459239959717
Iter: 24200, Simulation time: 0.25682497024536133
Iter: 24300, Simulation time: 0.2555990219116211
Iter: 24400, Simulation time: 0.25072407722473145
Iter: 24500, Simulation time: 0.2543220520019531
Iter: 24600, Simulation time: 0.2541160583496094
Iter: 24700, Simulation time: 0.25795698165893555
Iter: 24800, Simulation time: 0.26081371307373047
Iter: 24900, Simulation time: 0.2552168369293213
Iter: 25000, Simulation time: 0.2554740905761719
Iter: 25100, Simulation time: 0.25451087951660156
Iter: 25200, Simulation time: 0.3317728042602539
Iter: 25300, Simulation time: 0.2546401023864746
Iter: 25400, Simulation time: 0.2549748420715332
Iter: 25500, Simulation time: 0.25338220596313477
Iter: 25600, Simulation time: 0.2538270950317383
Iter: 25700, Simulation time: 0.30118703842163086
Iter: 25800, Simulation time: 1.1744749546051025
Iter: 25900, Simulation time: 0.2712900638580322
Iter: 26000, Simulation time: 0.287642240524292
Iter: 26100, Simulation time: 0.2678971290588379
Iter: 26200, Simulation time: 0.26404690742492676
Iter: 26300, Simulation time: 0.34705686569213867
Iter: 26400, Simulation time: 0.2604382038116455
Iter: 26500, Simulation time: 0.16130781173706055
Iter: 26600, Simulation time: 0.16388988494873047
Iter: 26700, Simulation time: 0.16057658195495605
Iter: 26800, Simulation time: 0.16378426551818848
Iter: 26900, Simulation time: 0.1639118194580078
Iter: 27000, Simulation time: 0.17393112182617188
Iter: 27100, Simulation time: 0.17469477653503418
Iter: 27200, Simulation time: 0.16603589057922363
Iter: 27300, Simulation time: 0.16522216796875
Iter: 27400, Simulation time: 0.18689608573913574
Iter: 27500, Simulation time: 0.17511796951293945
Iter: 27600, Simulation time: 0.18549394607543945
Iter: 27700, Simulation time: 0.18004798889160156
Iter: 27800, Simulation time: 0.1771559715270996
Iter: 27900, Simulation time: 0.19017601013183594
Iter: 28000, Simulation time: 0.16605091094970703
Iter: 28100, Simulation time: 0.16681814193725586
Iter: 28200, Simulation time: 0.17753982543945312
Iter: 28300, Simulation time: 0.18089509010314941
Iter: 28400, Simulation time: 0.17020225524902344
Iter: 28500, Simulation time: 0.1672837734222412
Iter: 28600, Simulation time: 0.1738429069519043
Iter: 28700, Simulation time: 0.1842060089111328
Iter: 28800, Simulation time: 0.18218517303466797
Iter: 28900, Simulation time: 0.19071173667907715
Iter: 29000, Simulation time: 0.16795110702514648
Iter: 29100, Simulation time: 0.16150593757629395
Iter: 29200, Simulation time: 0.16381502151489258
Iter: 29300, Simulation time: 0.17885780334472656
Iter: 29400, Simulation time: 0.16909313201904297
Iter: 29500, Simulation time: 0.17927289009094238
Iter: 29600, Simulation time: 0.17470502853393555
Iter: 29700, Simulation time: 0.18653011322021484
Iter: 29800, Simulation time: 0.18355917930603027
Iter: 29900, Simulation time: 0.1636643409729004
Iter: 30000, Simulation time: 0.19324278831481934
Iter: 30100, Simulation time: 0.17436885833740234
Iter: 30200, Simulation time: 0.18196773529052734
Iter: 30300, Simulation time: 0.1851210594177246
Iter: 30400, Simulation time: 0.1740739345550537
Iter: 30500, Simulation time: 0.17398881912231445
Iter: 30600, Simulation time: 0.17753815650939941
Iter: 30700, Simulation time: 0.17305994033813477
Iter: 30800, Simulation time: 0.17179584503173828
Iter: 30900, Simulation time: 0.185593843460083
Iter: 31000, Simulation time: 0.17304491996765137
Iter: 31100, Simulation time: 0.17522597312927246
Iter: 31200, Simulation time: 0.16811609268188477
Iter: 31300, Simulation time: 0.16627883911132812
Iter: 31400, Simulation time: 0.17116498947143555
Iter: 31500, Simulation time: 0.17507195472717285
Iter: 31600, Simulation time: 0.17090201377868652
Iter: 31700, Simulation time: 0.1793210506439209
Iter: 31800, Simulation time: 0.17904901504516602
Iter: 31900, Simulation time: 0.17605018615722656
Iter: 32000, Simulation time: 0.18407702445983887
Iter: 32100, Simulation time: 0.1669471263885498
Iter: 32200, Simulation time: 0.17967009544372559
Iter: 32300, Simulation time: 0.1794419288635254
Iter: 32400, Simulation time: 0.18554282188415527
Iter: 32500, Simulation time: 0.19855403900146484
Iter: 32600, Simulation time: 0.1679859161376953
Iter: 32700, Simulation time: 0.16906380653381348
Iter: 32800, Simulation time: 0.1786479949951172
Iter: 32900, Simulation time: 0.18776988983154297
Iter: 33000, Simulation time: 0.19268274307250977
Iter: 33100, Simulation time: 0.16961193084716797
Iter: 33200, Simulation time: 0.19066405296325684
Iter: 33300, Simulation time: 0.18464112281799316
Iter: 33400, Simulation time: 0.17072105407714844
Iter: 33500, Simulation time: 0.19427776336669922
Iter: 33600, Simulation time: 0.1721651554107666
Iter: 33700, Simulation time: 0.18215513229370117
Iter: 33800, Simulation time: 0.19941115379333496
Iter: 33900, Simulation time: 0.19610905647277832
Iter: 34000, Simulation time: 0.17821407318115234
Iter: 34100, Simulation time: 0.19829392433166504
Iter: 34200, Simulation time: 0.1954209804534912
Iter: 34300, Simulation time: 0.18578100204467773
Iter: 34400, Simulation time: 0.1805429458618164
Iter: 34500, Simulation time: 0.178635835647583
Iter: 34600, Simulation time: 0.19340801239013672
Iter: 34700, Simulation time: 0.17208290100097656
Iter: 34800, Simulation time: 0.2014009952545166
Iter: 34900, Simulation time: 0.18134498596191406
Iter: 35000, Simulation time: 0.19923615455627441
Iter: 35100, Simulation time: 0.18479704856872559
Iter: 35200, Simulation time: 0.18852782249450684
Iter: 35300, Simulation time: 0.19622302055358887
Iter: 35400, Simulation time: 0.19066596031188965
Iter: 35500, Simulation time: 0.18764996528625488
Iter: 35600, Simulation time: 0.18947291374206543
Iter: 35700, Simulation time: 0.18210506439208984
Iter: 35800, Simulation time: 0.18149209022521973
Iter: 35900, Simulation time: 0.1998581886291504
Iter: 36000, Simulation time: 0.19006919860839844
Iter: 36100, Simulation time: 0.1839311122894287
Iter: 36200, Simulation time: 0.1980588436126709
Iter: 36300, Simulation time: 0.18081402778625488
Iter: 36400, Simulation time: 0.1886138916015625
Iter: 36500, Simulation time: 0.18721222877502441
Iter: 36600, Simulation time: 0.1845088005065918
Iter: 36700, Simulation time: 0.1742711067199707
Iter: 36800, Simulation time: 0.18184208869934082
Iter: 36900, Simulation time: 0.19071197509765625
Iter: 37000, Simulation time: 0.19924712181091309
Iter: 37100, Simulation time: 0.18708491325378418
Iter: 37200, Simulation time: 0.19798779487609863
Iter: 37300, Simulation time: 0.18552184104919434
Iter: 37400, Simulation time: 0.18176507949829102
Iter: 37500, Simulation time: 0.18442702293395996
Iter: 37600, Simulation time: 0.18698906898498535
Iter: 37700, Simulation time: 0.20013189315795898
Iter: 37800, Simulation time: 0.1831653118133545
Iter: 37900, Simulation time: 0.18452906608581543
Iter: 38000, Simulation time: 0.1853928565979004
Iter: 38100, Simulation time: 0.18626189231872559
Iter: 38200, Simulation time: 0.4504241943359375
Iter: 38300, Simulation time: 0.20653176307678223
Iter: 38400, Simulation time: 0.20430779457092285
Iter: 38500, Simulation time: 0.20365524291992188
Iter: 38600, Simulation time: 0.1848008632659912
Iter: 38700, Simulation time: 0.19089484214782715
Iter: 38800, Simulation time: 0.17959904670715332
Iter: 38900, Simulation time: 0.17042016983032227
Iter: 39000, Simulation time: 0.17830514907836914
Iter: 39100, Simulation time: 0.18114781379699707
Iter: 39200, Simulation time: 0.19080400466918945
Iter: 39300, Simulation time: 0.20285391807556152
Iter: 39400, Simulation time: 0.1802058219909668
Iter: 39500, Simulation time: 0.19833993911743164
Iter: 39600, Simulation time: 0.1741011142730713
Iter: 39700, Simulation time: 0.1868588924407959
Iter: 39800, Simulation time: 0.1924571990966797
Iter: 39900, Simulation time: 0.1654222011566162
Iter: 40000, Simulation time: 0.1800389289855957
Iter: 40100, Simulation time: 0.1949291229248047
Iter: 40200, Simulation time: 0.17130684852600098
Iter: 40300, Simulation time: 0.18030905723571777
Iter: 40400, Simulation time: 0.16604280471801758
Iter: 40500, Simulation time: 0.19985413551330566
Iter: 40600, Simulation time: 0.19642305374145508
Iter: 40700, Simulation time: 0.17308783531188965
Iter: 40800, Simulation time: 0.20086669921875
Iter: 40900, Simulation time: 0.20116710662841797
Iter: 41000, Simulation time: 0.1765589714050293
Iter: 41100, Simulation time: 0.18062186241149902
Iter: 41200, Simulation time: 0.1881248950958252
Iter: 41300, Simulation time: 0.18267512321472168
Iter: 41400, Simulation time: 0.18451595306396484
Iter: 41500, Simulation time: 0.19370269775390625
Iter: 41600, Simulation time: 0.1815648078918457
Iter: 41700, Simulation time: 0.20139098167419434
Iter: 41800, Simulation time: 0.18213915824890137
Iter: 41900, Simulation time: 0.19415807723999023
Iter: 42000, Simulation time: 0.18027091026306152
Iter: 42100, Simulation time: 0.19892406463623047
Iter: 42200, Simulation time: 0.1844630241394043
Iter: 42300, Simulation time: 0.1687910556793213
Iter: 42400, Simulation time: 0.18329787254333496
Iter: 42500, Simulation time: 0.18130898475646973
Iter: 42600, Simulation time: 0.1862637996673584
Iter: 42700, Simulation time: 0.17179179191589355
Iter: 42800, Simulation time: 0.19599699974060059
Iter: 42900, Simulation time: 0.18216896057128906
Iter: 43000, Simulation time: 0.1793069839477539
Iter: 43100, Simulation time: 0.19672393798828125
Iter: 43200, Simulation time: 0.19653725624084473
Iter: 43300, Simulation time: 0.1817626953125
Iter: 43400, Simulation time: 0.17444205284118652
Iter: 43500, Simulation time: 0.17946195602416992
Iter: 43600, Simulation time: 0.17394471168518066
Iter: 43700, Simulation time: 0.19964981079101562
Iter: 43800, Simulation time: 0.17667579650878906
Iter: 43900, Simulation time: 0.19108796119689941
Iter: 44000, Simulation time: 0.19506001472473145
Iter: 44100, Simulation time: 0.19083809852600098
Iter: 44200, Simulation time: 0.1673288345336914
Iter: 44300, Simulation time: 0.16718316078186035
Iter: 44400, Simulation time: 0.16526579856872559
Iter: 44500, Simulation time: 0.1899101734161377
Iter: 44600, Simulation time: 0.1897590160369873
Iter: 44700, Simulation time: 0.17270898818969727
Iter: 44800, Simulation time: 0.19168376922607422
Iter: 44900, Simulation time: 0.1951160430908203
Iter: 45000, Simulation time: 0.17691493034362793
Iter: 45100, Simulation time: 0.19106292724609375
Iter: 45200, Simulation time: 0.17340302467346191
Iter: 45300, Simulation time: 0.1646418571472168
Iter: 45400, Simulation time: 0.17423486709594727
Iter: 45500, Simulation time: 0.17398929595947266
Iter: 45600, Simulation time: 0.16515898704528809
Iter: 45700, Simulation time: 0.19280695915222168
Iter: 45800, Simulation time: 0.19526910781860352
Iter: 45900, Simulation time: 0.1691570281982422
Iter: 46000, Simulation time: 0.19537711143493652
Iter: 46100, Simulation time: 0.19253873825073242
Iter: 46200, Simulation time: 0.19590210914611816
Iter: 46300, Simulation time: 0.1684739589691162
Iter: 46400, Simulation time: 0.19295907020568848
Iter: 46500, Simulation time: 0.1604139804840088
Iter: 46600, Simulation time: 0.190263032913208
Iter: 46700, Simulation time: 0.19209027290344238
Iter: 46800, Simulation time: 0.1680591106414795
Iter: 46900, Simulation time: 0.19172406196594238
Iter: 47000, Simulation time: 0.19440197944641113
Iter: 47100, Simulation time: 0.17458891868591309
Iter: 47200, Simulation time: 0.1886451244354248
Iter: 47300, Simulation time: 0.15964818000793457
Iter: 47400, Simulation time: 0.163848876953125
Iter: 47500, Simulation time: 0.16821503639221191
Iter: 47600, Simulation time: 0.1805589199066162
Iter: 47700, Simulation time: 0.18541884422302246
Iter: 47800, Simulation time: 0.16711997985839844
Iter: 47900, Simulation time: 0.17341303825378418
Iter: 48000, Simulation time: 0.18879199028015137
Iter: 48100, Simulation time: 0.18664884567260742
Iter: 48200, Simulation time: 0.16022706031799316
Iter: 48300, Simulation time: 0.17591500282287598
Iter: 48400, Simulation time: 0.1727581024169922
Iter: 48500, Simulation time: 0.19402074813842773
Iter: 48600, Simulation time: 0.19226717948913574
Iter: 48700, Simulation time: 0.19478392601013184
Iter: 48800, Simulation time: 0.17567801475524902
Iter: 48900, Simulation time: 0.1941370964050293
Iter: 49000, Simulation time: 0.18946099281311035
Iter: 49100, Simulation time: 0.17858004570007324
Iter: 49200, Simulation time: 0.1599559783935547
Iter: 49300, Simulation time: 0.1884019374847412
Iter: 49400, Simulation time: 0.17542672157287598
Iter: 49500, Simulation time: 0.1678938865661621
Iter: 49600, Simulation time: 0.19005584716796875
Iter: 49700, Simulation time: 0.16965007781982422
Iter: 49800, Simulation time: 0.19447588920593262
Iter: 49900, Simulation time: 0.1847689151763916
Generating 10000 validation simulations
[[0. 1. 1. 1. 0.]
 [0. 0. 1. 1. 1.]
 [0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0.]]
Iter: 0, Simulation time: 0.16211581230163574
Iter: 100, Simulation time: 0.17597627639770508
Iter: 200, Simulation time: 0.19158387184143066
Iter: 300, Simulation time: 0.18747878074645996
Iter: 400, Simulation time: 0.19603586196899414
Iter: 500, Simulation time: 0.16439294815063477
Iter: 600, Simulation time: 0.18813109397888184
Iter: 700, Simulation time: 0.18483185768127441
Iter: 800, Simulation time: 0.16970181465148926
Iter: 900, Simulation time: 0.18574118614196777
Iter: 1000, Simulation time: 0.1885991096496582
Iter: 1100, Simulation time: 0.17165493965148926
Iter: 1200, Simulation time: 0.18072819709777832
Iter: 1300, Simulation time: 0.18680095672607422
Iter: 1400, Simulation time: 0.1862349510192871
Iter: 1500, Simulation time: 0.1877281665802002
Iter: 1600, Simulation time: 0.19037175178527832
Iter: 1700, Simulation time: 0.1841142177581787
Iter: 1800, Simulation time: 0.1791088581085205
Iter: 1900, Simulation time: 0.18976116180419922
Iter: 2000, Simulation time: 0.1867990493774414
Iter: 2100, Simulation time: 0.1867659091949463
Iter: 2200, Simulation time: 0.18724489212036133
Iter: 2300, Simulation time: 0.1975550651550293
Iter: 2400, Simulation time: 0.19429469108581543
Iter: 2500, Simulation time: 0.20461797714233398
Iter: 2600, Simulation time: 0.17163801193237305
Iter: 2700, Simulation time: 0.19009900093078613
Iter: 2800, Simulation time: 0.18678498268127441
Iter: 2900, Simulation time: 0.19138479232788086
Iter: 3000, Simulation time: 0.16393494606018066
Iter: 3100, Simulation time: 0.19103503227233887
Iter: 3200, Simulation time: 0.19644904136657715
Iter: 3300, Simulation time: 0.18496298789978027
Iter: 3400, Simulation time: 0.1715550422668457
Iter: 3500, Simulation time: 0.18829798698425293
Iter: 3600, Simulation time: 0.16106295585632324
Iter: 3700, Simulation time: 0.17652273178100586
Iter: 3800, Simulation time: 0.19030404090881348
Iter: 3900, Simulation time: 0.15867018699645996
